Date,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,5-4,5-5,6-1,6-2,6-3,6-4,6-5,12-1,12-2,12-3,16-1,16-2,16-3,16-4,16-5,18-1,18-2,18-3,18-4,18-5,19-1,19-2,19-3,19-4,19-5,20-1,20-2,20-3,20-4,20-5,21-1,21-2,21-3,21-4,21-5,7-1,7-2,7-3,7-4,7-5,8-1,8-2,8-3,8-4,8-5,9-1,9-2,9-3,9-4,9-5,10-1,10-2,10-3,10-4,10-5,11-1,11-2,11-3,11-4,11-5,14-1,14-2,14-3,14-4,14-5
2022-06-20,43.0,45.0,-2.0,17.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,37.0,27.0,35.0,26.0,45.0,48.0,46.0,37.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0,-2.0,0.0,-25.0,-12.0
2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,38.0,22.0,,,,,,62.0,53.0,-24.0,-8.0,-4.0,,,,,,,,,,,32.0,18.0,2.0,4.0,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,27.0,30.0,33.0,18.0
2022-06-22,51.0,52.0,3.0,22.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,39.0,36.0,26.0,25.0,48.0,53.0,50.0,43.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,21.0,24.0,-2.0,-10.0
2022-06-23,,,,,,-15.0,0.0,5.0,2.0,-3.0,3.0,9.0,11.0,7.0,19.0,48.0,49.0,45.0,43.0,40.0,22.0,33.0,27.0,12.0,35.0,57.0,57.0,45.0,42.0,38.0,44.0,35.0,20.0,,,,,,51.0,42.0,-28.0,-13.0,-7.0,,,,,,,,,,,26.0,12.0,-3.0,-1.0,-22.0,20.0,-5.0,10.0,14.0,20.0,60.0,65.0,57.0,59.0,36.0,34.0,16.0,34.0,38.0,33.0,33.0,15.0,9.0,22.0,19.0,52.0,45.0,38.0,43.0,25.0,7.0,21.0,29.0,26.0,20.0
2022-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,44.0,32.0,43.2,28.0,50.4,54.5,50.0,48.0,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,35.0,25.0,,,,,,47.0,38.0,-29.0,-15.0,-9.0,,,,,,,,,,,24.0,10.0,-5.0,-3.0,-23.0,11.0,2.0,9.0,14.0,20.0,82.0,61.0,59.0,62.0,40.0,15.0,4.0,32.0,35.0,30.0,31.0,13.0,10.0,23.0,18.0,54.0,43.0,36.0,41.0,22.0,1.0,18.0,23.0,22.0,15.0
2022-06-26,53.0,54.0,4.0,25.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,21.0,23.0,21.0,22.0,,,,,,43.0,40.0,33.0,41.0,24.0,50.0,55.0,48.0,47.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,21.0,22.0,23.0,18.0
2022-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,33.0,45.0,,,,,,45.5,38.0,-28.0,-12.0,-9.0,,,,,,,,,,,23.0,8.0,-6.0,-3.0,-33.0,7.0,-12.0,2.0,7.0,9.0,79.0,57.0,42.0,43.0,30.0,13.0,-12.0,18.0,19.0,9.0,23.0,1.0,-11.0,1.0,4.0,42.0,29.0,19.0,24.0,-1.0,0.0,16.0,21.0,21.0,16.0
2022-06-28,50.0,53.0,3.8,18.0,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,42.0,40.0,43.0,30.0,50.6,54.7,51.0,48.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,14.0,7.0,-1.0
2022-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,35.0,47.0,,,,,,45.0,38.0,-27.0,-9.0,-8.0,,,,,,,,,,,23.0,10.0,-5.0,-4.0,-34.0,11.0,-10.0,5.0,11.0,13.0,79.0,58.0,44.0,42.0,30.0,11.0,-10.0,20.0,22.0,11.0,25.0,3.0,-8.0,3.0,6.0,43.0,32.0,23.0,3.0,7.0,-2.0,5.0,7.0,-19.0,-9.0
